000001,C
000002,N
000003,O
000004,C#C
000005,C#N
000006,C=O
000007,CC
000008,CO
000009,CC#C
000010,CC#N
000011,CC=O
000012,NC=O
000013,CCC
000014,CCO
000015,COC
000016,C1CC1
000017,C1CO1
000018,CC(C)=O
000019,CC(N)=O
000020,NC(N)=O
000021,CC(C)C
000022,CC(C)O
000023,C#CC#C
000024,C#CC#N
000025,N#CC#N
000026,O=CC#C
000027,O=CC#N
000028,O=CC=O
000029,CC#CC
000030,CCC#C
000031,CCC#N
000032,NCC#N
000033,OCC#C
000034,OCC#N
000035,CCC=O
000036,CNC=O
000037,COC=O
000038,OCC=O
000039,CCCC
000040,CCCO
000041,CCOC
000042,OCCO
000043,CC1CC1
000044,CC1CO1
000045,CN1CC1
000046,OC1CC1
000047,C1CCC1
000048,C1COC1
000049,CC(C)=NO
000050,N1C=CC=C1
000051,N1C=CN=C1
000052,O1C=CC=C1
000053,O1C=CN=C1
000054,CC(C)(C)C
000055,CC(C)(C)O
000056,CC(=O)C#C
000057,CC(=O)C#N
000058,NC(=N)C#N
000059,NC(=O)C#C
000060,CC(=O)C=O
000061,NC(=N)C=O
000062,NC(=O)C=O
000063,CC(C)C#C
000064,CC(C)C#N
000065,CC(N)C#N
000066,CC(O)C#C
000067,CC(O)C#N
000068,CC(C)C=O
000069,CC(O)C=O
000070,CN(C)C=O
000071,CC(=O)CO
000072,CCC(C)=O
000073,CCC(N)=O
000074,CNC(C)=O
000075,CNC(N)=O
000076,COC(C)=N
000077,COC(C)=O
000078,COC(N)=O
000079,NC(=O)CO
000080,[NH3+]CC([O-])=O
000081,CC(C)CO
000082,CC(O)CO
000083,CCC(C)C
000084,CCC(C)O
000085,COC(C)C
000086,CC1(C)CC1
000087,CC1(C)CO1
000088,CC1(O)CC1
000089,N=C1CCO1
000090,O=C1CCC1
000091,O=C1CCN1
000092,O=C1CCO1
000093,O=C1CNC1
000094,O=C1COC1
000095,CC1CCC1
000096,CC1CCO1
000097,CC1COC1
000098,OC1CCC1
000099,OC1COC1
000100,CC1CC1C
000101,CC1CC1O
000102,CC1CN1C
000103,CC1OC1C
000104,OC1CC1O
000105,C1C2CC1C2
000106,C1C2CC1O2
000107,C#CCC#C
000108,C#CCC#N
000109,N#CCC#N
000110,O=CCC#C
000111,O=CCC#N
000112,N=CNC=O
000113,N=COC=O
000114,O=CNC=O
000115,CC#CC#C
